274,＜でん粉・でん粉製品＞　でん粉製品　はるさめ　普通はるさめ　乾,0,0.2,86.6
275,＜でん粉・でん粉製品＞　でん粉製品　はるさめ　普通はるさめ　ゆで,0,0,19.9
276,砂糖類　黒砂糖,1.7,0,90.3
277,砂糖類　てんさい含蜜糖,0.9,0,96.9
278,砂糖類　和三盆糖,0.2,0,99
279,砂糖類　車糖　上白糖,0,0,99.3
280,砂糖類　車糖　三温糖,0,0,99
281,砂糖類　ざらめ糖　グラニュー糖,0,0,100
282,砂糖類　ざらめ糖　白ざら糖,0,0,100
283,砂糖類　ざらめ糖　中ざら糖,0,0,100
284,砂糖類　加工糖　角砂糖,0,0,100
285,砂糖類　加工糖　氷砂糖,0,0,100
286,砂糖類　加工糖　コーヒーシュガー,0.1,0,99.8
287,砂糖類　加工糖　粉糖,0,0,99.7
288,砂糖類　液糖　しょ糖型液糖,0,0,67.9
289,砂糖類　液糖　転化型液糖,0,0,76.6
290,砂糖類　氷糖みつ,0.2,0,68.2
291,でん粉糖類　還元麦芽糖,0,0,100
292,でん粉糖類　還元水あめ,0,0,69.9
293,でん粉糖類　粉あめ,0,0,97
294,でん粉糖類　水あめ　酵素糖化,0,0,85
295,でん粉糖類　水あめ　酸糖化,0,0,85
296,でん粉糖類　ぶどう糖　全糖,0,0,91
297,でん粉糖類　ぶどう糖　含水結晶,0,0,91.3
298,でん粉糖類　ぶどう糖　無水結晶,0,0,99.7
299,でん粉糖類　果糖,0,0,99.9
300,でん粉糖類　異性化液糖　ぶどう糖果糖液糖,0,0,75
301,でん粉糖類　異性化液糖　果糖ぶどう糖液糖,0,0,75
302,でん粉糖類　異性化液糖　高果糖液糖,0,0,75
303,その他　黒蜜,1,0,50.5
304,その他　はちみつ,0.3,0,81.9
305,その他　メープルシロップ,0.1,0,66.3
306,あずき　全粒　乾,20.8,2,59.6
307,あずき　全粒　ゆで,8.6,0.8,25.6
308,あずき　ゆで小豆缶詰,4.4,0.4,49.2
309,あずき　あん　こし生あん,9.8,0.6,27.1
310,あずき　あん　さらしあん　乾燥あん,23.5,1,66.8
311,あずき　あん　こし練りあん　並あん,5.6,0.3,58.8
312,あずき　あん　こし練りあん　中割りあん,5.1,0.3,61.1
313,あずき　あん　こし練りあん　もなかあん,5.1,0.3,68.6
314,あずき　あん　つぶし練りあん,5.6,0.6,54
315,いんげんまめ　全粒　乾,22.1,2.5,56.4
316,いんげんまめ　全粒　ゆで,9.3,1.2,24.5
317,いんげんまめ　うずら豆,6.7,1.3,49.6
318,いんげんまめ　こし生あん,9.4,0.9,27
319,いんげんまめ　豆きんとん,4.9,0.5,56.2
320,えんどう　全粒　青えんどう　乾,21.7,2.3,60.4
321,えんどう　全粒　青えんどう　ゆで,9.2,1,25.2
322,えんどう　全粒　赤えんどう　乾,21.7,2.3,60.4
323,えんどう　全粒　赤えんどう　ゆで,9.2,1,25.2
324,えんどう　グリンピース揚げ豆,20.8,11.6,58.8
325,えんどう　塩豆,23.3,2.4,61.5
326,えんどう　うぐいす豆,5.6,0.7,52.9
327,ささげ　全粒　乾,23.9,2,55
328,ささげ　全粒　ゆで,10.2,0.9,23.8
329,そらまめ　全粒　乾,26,2,55.9
330,そらまめ　フライビーンズ,24.7,20.8,46.4
331,そらまめ　おたふく豆,7.9,1.2,52.2
332,そらまめ　ふき豆,9.6,1.6,52.5
333,そらまめ　しょうゆ豆,9.8,0.9,37.1
334,だいず　全粒・全粒製品　全粒　青大豆　国産　乾,33.5,19.3,30.1
335,だいず　全粒・全粒製品　全粒　青大豆　国産　ゆで,15,8.2,9.9
336,だいず　全粒・全粒製品　全粒　黄大豆　国産　乾,33.8,19.7,29.5
337,だいず　全粒・全粒製品　全粒　黄大豆　国産　ゆで,14.8,9.8,8.4
338,だいず　全粒・全粒製品　全粒　黄大豆　米国産　乾,33,21.7,28.8
339,だいず　全粒・全粒製品　全粒　黄大豆　中国産　乾,32.8,19.5,30.8
340,だいず　全粒・全粒製品　全粒　黄大豆　ブラジル産　乾,33.6,22.6,30.7
341,だいず　全粒・全粒製品　全粒　黒大豆　国産　乾,33.9,18.8,28.9
342,だいず　全粒・全粒製品　全粒　黒大豆　国産　ゆで,14.7,8.6,9.8
343,だいず　全粒・全粒製品　いり大豆　青大豆,37.7,20.7,33.9
344,だいず　全粒・全粒製品　いり大豆　黄大豆,37.5,21.6,33.3
345,だいず　全粒・全粒製品　いり大豆　黒大豆,36.4,22,34.3
346,だいず　全粒・全粒製品　水煮缶詰　黄大豆,12.9,6.7,7.7
347,だいず　全粒・全粒製品　蒸し大豆　黄大豆,16.6,9.8,13.8
348,だいず　全粒・全粒製品　きな粉　青大豆　全粒大豆,37,22.8,29.3
349,だいず　全粒・全粒製品　きな粉　青大豆　脱皮大豆,36.6,24.6,28.3
350,だいず　全粒・全粒製品　きな粉　黄大豆　全粒大豆,36.7,25.7,28.5
351,だいず　全粒・全粒製品　きな粉　黄大豆　脱皮大豆,37.5,25.1,29.5
352,だいず　全粒・全粒製品　きな粉砂糖入り　青きな粉,18.5,11.4,64.3
353,だいず　全粒・全粒製品　きな粉砂糖入り　きな粉,18.3,12.9,63.9
354,だいず　全粒・全粒製品　大豆はいが,37.8,14.7,39.5
355,だいず　全粒・全粒製品　ぶどう豆,14.1,9.4,37
356,だいず　豆腐・油揚げ類　木綿豆腐,7,4.9,1.5
